name,adress,price,type,RE,area_m2,land_area_m2,disposition,city,city_part,price_KC
Prodej bytu 5+kk 125 m²,"U obecního dvora, Praha - Staré Město",21 690 000 Kč,prodej,bytu,125,,5+kk,Praha,Staré Město,21690000.0
Prodej bytu 4+kk 348 m²,"Na pomezí, Praha - Košíře",39 900 000 Kč,prodej,bytu,348,,4+kk,Praha,Košíře,39900000.0
Prodej bytu 3+kk 71 m²,"V Honech, Klecany",6 900 000 Kč,prodej,bytu,71,,3+kk,Klecany,,6900000.0
SLEVA: Prodej bytu 1+kk 50 m²,"Křižíkova, Praha - Karlín",8 500 000 Kč,prodej,bytu,50,,1+kk,Praha,Karlín,8500000.0
"Pronájem rodinného domu 110 m², pozemek 193 m²",Brod nad Dyjí,25 000 Kč/měsíc,pronájem,rodinného domu,110,193,,Brod nad Dyjí,,25000.0
Pronájem bytu 1+kk 15 m²,"Geologická, Praha - Hlubočepy",12 100 Kč/měsíc,pronájem,bytu,15,,1+kk,Praha,Hlubočepy,12100.0
Prodej bytu 3+kk 62 m²,"Československého exilu, Praha - Modřany",10 950 000 Kč,prodej,bytu,62,,3+kk,Praha,Modřany,10950000.0
Prodej bytu 3+kk 75 m²,"Sokolská, Praha - Nové Město",13 200 000 Kč,prodej,bytu,75,,3+kk,Praha,Nové Město,13200000.0
Prodej bytu 3+kk 148 m²,"Křižíkova, Praha - Karlín",20 000 000 Kč,prodej,bytu,148,,3+kk,Praha,Karlín,20000000.0
Prodej bytu 3+kk 102 m²,"Na Dračkách, Praha - Veleslavín",28 900 000 Kč,prodej,bytu,102,,3+kk,Praha,Veleslavín,28900000.0
Prodej bytu 3+kk 102 m²,"Na Dračkách, Praha - Veleslavín",28 900 000 Kč,prodej,bytu,102,,3+kk,Praha,Veleslavín,28900000.0
Prodej bytu 3+kk 117 m²,"Vlašská, Praha - Malá Strana",29 000 000 Kč,prodej,bytu,117,,3+kk,Praha,Malá Strana,29000000.0
"Prodej rodinného domu 977 m², pozemek 706 m²","U dubu, Praha - Braník",40 000 000 Kč,prodej,rodinného domu,977,706,,Praha,Braník,40000000.0
"Prodej rodinného domu 199 m², pozemek 2064 m²","Na Výsluní, Mníšek - Fojtka",6 750 000 Kč,prodej,rodinného domu,199,2064,,Mníšek,Fojtka,6750000.0
Prodej bytu 3+kk 54 m²,"Hamplova, Neratovice",7 390 000 Kč,prodej,bytu,54,,3+kk,Neratovice,,7390000.0
"Prodej zemědělské usedlosti 937 m², pozemek 3097 m²",Daleké Dušníky,9 898 108 Kč,prodej,zemědělské usedlosti,937,3097,,Daleké Dušníky,,9898108.0
"Prodej rodinného domu 440 m², pozemek 2179 m²",Nová Role - Mezirolí,18 400 000 Kč,prodej,rodinného domu,440,2179,,Nová Role,Mezirolí,18400000.0
Prodej bytu 2+kk 28 m²,"Studentská, Praha - Dejvice",6 790 000 Kč,prodej,bytu,28,,2+kk,Praha,Dejvice,6790000.0
Prodej bytu 2+kk 29 m²,"Studentská, Praha - Dejvice",6 790 000 Kč,prodej,bytu,29,,2+kk,Praha,Dejvice,6790000.0
SLEVA: Prodej bytu 1+kk 53 m²,"Balbínova, Praha - Vinohrady",10 990 000 Kč,prodej,bytu,53,,1+kk,Praha,Vinohrady,10990000.0
SLEVA: Prodej bytu 2+kk 66 m²,"Opletalova, Praha - Nové Město",14 500 000 Kč,prodej,bytu,66,,2+kk,Praha,Nové Město,14500000.0
