name,adress,price,type,RE,area_m2,land_area_m2,disposition,city,city_part,price_KC
Pronájem bytu 1+kk 32 m²,"Vrbenská, České Budějovice",11 500 Kč/měsíc,pronájem,bytu,32,,1+kk,České Budějovice,,11500.0
"Prodej rodinného domu 280 m², pozemek 157 m²","Mnichská, Netolice",4 750 000 Kč,prodej,rodinného domu,280,157,,Netolice,,4750000.0
"Prodej rodinného domu 180 m², pozemek 1432 m²",Krupá,7 490 000 Kč,prodej,rodinného domu,180,1432,,Krupá,,7490000.0
Pronájem bytu 1+kk 24 m²,"Perucká, Praha - Vinohrady",13 900 Kč/měsíc,pronájem,bytu,24,,1+kk,Praha,Vinohrady,13900.0
Pronájem bytu 1+kk 35 m²,"Vančurova, Opava - Předměstí",11 000 Kč/měsíc,pronájem,bytu,35,,1+kk,Opava,Předměstí,11000.0
Pronájem bytu 1+kk 28 m²,"Francouzská, Ostrava - Poruba",10 900 Kč/měsíc,pronájem,bytu,28,,1+kk,Ostrava,Poruba,10900.0
Pronájem bytu 2+kk 48 m²,"Nademlejnská, Praha - Hloubětín",21 500 Kč/měsíc,pronájem,bytu,48,,2+kk,Praha,Hloubětín,21500.0
"Prodej rodinného domu 314 m², pozemek 775 m²","Pod Rezervací, Ústí nad Labem - Brná",10 099 000 Kč,prodej,rodinného domu,314,775,,Ústí nad Labem,Brná,10099000.0
"Prodej rodinného domu 70 m², pozemek 239 m²","Kostelní, Vimperk - Vimperk I",4 990 000 Kč,prodej,rodinného domu,70,239,,Vimperk,Vimperk I,4990000.0
"Prodej chaty 80 m², pozemek 391 m²",Rovensko pod Troskami - Liščí Kotce,3 300 000 Kč,prodej,chaty,80,391,,Rovensko pod Troskami,Liščí Kotce,3300000.0
"Prodej rodinného domu 297 m², pozemek 675 m²","Koněvova, Turnov",9 950 000 Kč,prodej,rodinného domu,297,675,,Turnov,,9950000.0
Prodej bytu 2+kk 45 m²,"Pecháčkova, Praha - Smíchov",9 225 000 Kč,prodej,bytu,45,,2+kk,Praha,Smíchov,9225000.0
Prodej bytu 2+kk 133 m²,"Čenětická, Praha - Chodov",16 053 000 Kč,prodej,bytu,133,,2+kk,Praha,Chodov,16053000.0
Pronájem bytu 1+kk 20 m²,"Řehořova, Praha - Žižkov",11 500 Kč/měsíc,pronájem,bytu,20,,1+kk,Praha,Žižkov,11500.0
"Prodej chalupy 70 m², pozemek 239 m²","Kostelní, Vimperk - Vimperk I",4 990 000 Kč,prodej,chalupy,70,239,,Vimperk,Vimperk I,4990000.0
"Prodej rodinného domu 204 m², pozemek 297 m²",Křesetice,3 899 900 Kč,prodej,rodinného domu,204,297,,Křesetice,,3899900.0
"Prodej rodinného domu 138 m², pozemek 369 m²","Boženy Němcové, Čáslav - Čáslav-Nové Město",3 999 000 Kč,prodej,rodinného domu,138,369,,Čáslav,Čáslav-Nové Město,3999000.0
"Prodej rodinného domu 332 m², pozemek 475 m²",Kamýk nad Vltavou,14 900 000 Kč,prodej,rodinného domu,332,475,,Kamýk nad Vltavou,,14900000.0
Pronájem bytu 2+kk 58 m²,"Zborovská, Kolín - Kolín II",14 900 Kč/měsíc,pronájem,bytu,58,,2+kk,Kolín,Kolín II,14900.0
Prodej bytu 2+kk 65 m²,"Jablonského, Kolín - Kolín V",4 999 900 Kč,prodej,bytu,65,,2+kk,Kolín,Kolín V,4999900.0
"Prodej rodinného domu 254 m², pozemek 1026 m²","Družstevní, Čachovice",12 900 000 Kč,prodej,rodinného domu,254,1026,,Čachovice,,12900000.0
"Prodej rodinného domu 120 m², pozemek 506 m²",Staré Město pod Landštejnem,3 790 000 Kč,prodej,rodinného domu,120,506,,Staré Město pod Landštejnem,,3790000.0
"Prodej vícegeneračního domu 946 m², pozemek 2416 m²","Vodní, Rumburk - Rumburk 1",9 900 000 Kč,prodej,vícegeneračního domu,946,2416,,Rumburk,Rumburk 1,9900000.0
"Prodej památky 365 m², pozemek 288 m²","Husova, Kutná Hora - Kutná Hora-Vnitřní Město",14 499 000 Kč,prodej,památky,365,288,,Kutná Hora,Kutná Hora-Vnitřní Město,14499000.0
"Prodej rodinného domu 130 m², pozemek 1133 m²",Vlačice - Výčapy,4 999 000 Kč,prodej,rodinného domu,130,1133,,Vlačice,Výčapy,4999000.0
Prodej bytu 3+kk 68 m²,"Sadová, Nymburk",3 999 900 Kč,prodej,bytu,68,,3+kk,Nymburk,,3999900.0
Prodej bytu 2+1 56 m²,"Patočkova, Praha - Břevnov",7 400 000 Kč,prodej,bytu,56,,2+1,Praha,Břevnov,7400000.0
Prodej bytu atypický 79 m²,"Francouzská, Brno - Zábrdovice",5 900 000 Kč,prodej,bytu,,,,Brno,Zábrdovice,5900000.0
"Prodej rodinného domu 157 m², pozemek 896 m²","Staroknínská, Nový Knín",12 990 000 Kč,prodej,rodinného domu,157,896,,Nový Knín,,12990000.0
Pronájem bytu 2+kk 52 m²,"Podolská, Praha - Podolí",18 900 Kč/měsíc,pronájem,bytu,52,,2+kk,Praha,Podolí,18900.0
Pronájem bytu 1+1 35 m²,"Hranická, Odry",11 000 Kč/měsíc,pronájem,bytu,35,,1+1,Odry,,11000.0
"Prodej rodinného domu 133 m², pozemek 448 m²","Rozkvetlá, Jenišov",8 497 000 Kč,prodej,rodinného domu,133,448,,Jenišov,,8497000.0
Pronájem bytu 3+kk 83 m²,"Ječná, Praha - Nové Město",29 900 Kč/měsíc,pronájem,bytu,83,,3+kk,Praha,Nové Město,29900.0
Pronájem bytu 3+1 78 m²,"Pod Strání, Hradec Králové - Třebeš",20 000 Kč/měsíc,pronájem,bytu,78,,3+1,Hradec Králové,Třebeš,20000.0
"Prodej rodinného domu 230 m², pozemek 382 m²","Jana Nečase, Brno - Žabovřesky",27 990 000 Kč,prodej,rodinného domu,230,382,,Brno,Žabovřesky,27990000.0
Pronájem bytu 2+kk 39 m²,"Hoblíkova, Nový Jičín",11 400 Kč/měsíc,pronájem,bytu,39,,2+kk,Nový Jičín,,11400.0
Prodej bytu 3+kk 94 m²,"Osadní, Praha - Holešovice",14 900 000 Kč,prodej,bytu,94,,3+kk,Praha,Holešovice,14900000.0
"SLEVA: Prodej chalupy 89 m², pozemek 1269 m²",Staré Město pod Landštejnem,1 990 000 Kč,prodej,chalupy,89,1269,,Staré Město pod Landštejnem,,1990000.0
Prodej bytu 2+kk 43 m²,"Slévačská, Praha - Praha 14",5 900 000 Kč,prodej,bytu,43,,2+kk,Praha,Praha 14,5900000.0
"Prodej chalupy 100 m², pozemek 212 m²",Hrutov,1 300 000 Kč,prodej,chalupy,100,212,,Hrutov,,1300000.0
Pronájem bytu 3+kk 85 m²,Prostřední Bečva,17 000 Kč/měsíc,pronájem,bytu,85,,3+kk,Prostřední Bečva,,17000.0
Pronájem bytu 3+1 109 m²,"Čimická, Praha - Kobylisy",30 000 Kč/měsíc,pronájem,bytu,109,,3+1,Praha,Kobylisy,30000.0
Pronájem bytu 3+1 109 m²,"Čimická, Praha - Kobylisy",30 000 Kč/měsíc,pronájem,bytu,109,,3+1,Praha,Kobylisy,30000.0
Pronájem bytu 1+1 35 m²,"Náměstí, Křemže",8 000 Kč,pronájem,bytu,35,,1+1,Křemže,,8000.0
"Prodej rodinného domu 161 m², pozemek 261 m²",Kunštát,8 980 000 Kč,prodej,rodinného domu,161,261,,Kunštát,,8980000.0
Prodej bytu 3+1 71 m²,"Botevova, Praha - Modřany",6 940 000 Kč,prodej,bytu,71,,3+1,Praha,Modřany,6940000.0
Prodej bytu 3+kk 53 m²,Černá v Pošumaví,Cena na vyžádání,prodej,bytu,53,,3+kk,Černá v Pošumaví,,
Pronájem bytu 1+kk 43 m²,"Karla Engliše, Praha - Smíchov",22 500 Kč/měsíc,pronájem,bytu,43,,1+kk,Praha,Smíchov,22500.0
Pronájem bytu 2+1 54 m²,"náměstí SNP, Brno - Černá Pole",16 800 Kč/měsíc,pronájem,bytu,54,,2+1,Brno,Černá Pole,16800.0
Pronájem bytu 2+kk 50 m²,"U libeňského pivovaru, Praha - Libeň",18 000 Kč/měsíc,pronájem,bytu,50,,2+kk,Praha,Libeň,18000.0
Prodej bytu 3+kk 95 m²,"Vranovská, Brno - Husovice",10 880 000 Kč,prodej,bytu,95,,3+kk,Brno,Husovice,10880000.0
"Prodej rodinného domu 136 m², pozemek 204 m²",Město Albrechtice - Linhartovy,2 249 000 Kč,prodej,rodinného domu,136,204,,Město Albrechtice,Linhartovy,2249000.0
"SLEVA: Prodej rodinného domu 105 m², pozemek 644 m²","Lázeňská, Horní Dvořiště",2 650 000 Kč,prodej,rodinného domu,105,644,,Horní Dvořiště,,2650000.0
"Prodej rodinného domu 200 m², pozemek 385 m²",Lazníky,Cena na vyžádání,prodej,rodinného domu,200,385,,Lazníky,,
"Pronájem rodinného domu 270 m², pozemek 600 m²","Na břevnovské pláni, Praha - Břevnov",65 000 Kč/měsíc,pronájem,rodinného domu,270,600,,Praha,Břevnov,65000.0
Pronájem bytu 1+kk 40 m²,"Jarošova, Znojmo",11 000 Kč/měsíc,pronájem,bytu,40,,1+kk,Znojmo,,11000.0
Prodej bytu 3+1 73 m²,"Okrajová, Třebíč - Horka-Domky",4 429 000 Kč,prodej,bytu,73,,3+1,Třebíč,Horka-Domky,4429000.0
Pronájem bytu 3+1 78 m²,"Sirkařská, Sušice - Sušice II",12 000 Kč/měsíc,pronájem,bytu,78,,3+1,Sušice,Sušice II,12000.0
"Prodej rodinného domu 210 m², pozemek 2552 m²",Předslavice,6 990 000 Kč,prodej,rodinného domu,210,2552,,Předslavice,,6990000.0
"Pronájem rodinného domu 469 m², pozemek 773 m²","Vacínovská, Praha - Jinonice",125 000 Kč/měsíc,pronájem,rodinného domu,469,773,,Praha,Jinonice,125000.0
"Prodej rodinného domu 139 m², pozemek 515 m²",Jenštejn,Cena na vyžádání,prodej,rodinného domu,139,515,,Jenštejn,,
"Prodej vícegeneračního domu 252 m², pozemek 204 m²","Hlaváčkovo náměstí, Slaný",10 999 000 Kč,prodej,vícegeneračního domu,252,204,,Slaný,,10999000.0
"Prodej rodinného domu 117 m², pozemek 4295 m²",Olešník - Chlumec,Cena na vyžádání,prodej,rodinného domu,117,4295,,Olešník,Chlumec,
Pronájem bytu 4+1 170 m²,"Vlašská, Praha - Malá Strana",79 000 Kč/měsíc,pronájem,bytu,170,,4+1,Praha,Malá Strana,79000.0
Prodej bytu 2+kk 48 m²,Dlouhá Ves,4 880 000 Kč,prodej,bytu,48,,2+kk,Dlouhá Ves,,4880000.0
"Prodej rodinného domu 133 m², pozemek 475 m²","Pšeničná, Roudné",11 450 000 Kč,prodej,rodinného domu,133,475,,Roudné,,11450000.0
Pronájem bytu 1+kk 30 m²,"Ondříčkova, Praha - Žižkov",14 000 Kč/měsíc,pronájem,bytu,30,,1+kk,Praha,Žižkov,14000.0
"Prodej rodinného domu 128 m², pozemek 455 m²",Ústín,12 990 000 Kč,prodej,rodinného domu,128,455,,Ústín,,12990000.0
Prodej bytu 3+kk 74 m²,"Janského, Olomouc - Povel",7 550 000 Kč,prodej,bytu,74,,3+kk,Olomouc,Povel,7550000.0
Pronájem bytu 3+kk 88 m²,"17. listopadu, Olomouc",26 000 Kč/měsíc,pronájem,bytu,88,,3+kk,Olomouc,,26000.0
Pronájem bytu 1+kk 34 m²,"Na Lukách, Prostějov",11 000 Kč/měsíc,pronájem,bytu,34,,1+kk,Prostějov,,11000.0
Prodej bytu 3+kk 91 m²,"Eduarda Hamburgera, Olomouc",10 990 000 Kč,prodej,bytu,91,,3+kk,Olomouc,,10990000.0
Prodej bytu 2+kk 57 m²,"Topolová, Olomouc - Slavonín",4 635 000 Kč,prodej,bytu,57,,2+kk,Olomouc,Slavonín,4635000.0
Prodej bytu 3+kk 88 m²,"Peškova, Olomouc - Povel",7 799 000 Kč,prodej,bytu,88,,3+kk,Olomouc,Povel,7799000.0
Prodej bytu 1+kk 27 m²,Čachrov - Javorná,3 490 000 Kč,prodej,bytu,27,,1+kk,Čachrov,Javorná,3490000.0
Pronájem bytu 1+kk 30 m²,"Počernická, Praha",14 500 Kč/měsíc,pronájem,bytu,30,,1+kk,Praha,,14500.0
"Prodej rodinného domu 160 m², pozemek 1681 m²",Kájov - Lazec,11 500 000 Kč,prodej,rodinného domu,160,1681,,Kájov,Lazec,11500000.0
"Pronájem rodinného domu 267 m², pozemek 407 m²","Štiplova, Praha - Dejvice",90 000 Kč/měsíc,pronájem,rodinného domu,267,407,,Praha,Dejvice,90000.0
"SLEVA: Prodej rodinného domu 100 m², pozemek 1762 m²",Chlum u Třeboně - Žíteč,4 490 000 Kč,prodej,rodinného domu,100,1762,,Chlum u Třeboně,Žíteč,4490000.0
"Prodej rodinného domu 147 m², pozemek 504 m²","Ječná, Roudné",11 600 000 Kč,prodej,rodinného domu,147,504,,Roudné,,11600000.0
"Prodej rodinného domu 109 m², pozemek 1125 m²",Opatovice I,8 300 000 Kč,prodej,rodinného domu,109,1125,,Opatovice I,,8300000.0
"Prodej rodinného domu 94 m², pozemek 60 m²",Rostoklaty - Nová Ves II,9 990 000 Kč,prodej,rodinného domu,94,60,,Rostoklaty,Nová Ves II,9990000.0
"Prodej rodinného domu 97 m², pozemek 428 m²","Ovesná, Roudné",9 500 000 Kč,prodej,rodinného domu,97,428,,Roudné,,9500000.0
Pronájem bytu 3+1 95 m²,"U Kanálky, Praha - Vinohrady",35 000 Kč/měsíc,pronájem,bytu,95,,3+1,Praha,Vinohrady,35000.0
"Prodej rodinného domu 133 m², pozemek 214 m²","Lidická tř., České Budějovice - České Budějovice 7",7 850 000 Kč,prodej,rodinného domu,133,214,,České Budějovice,České Budějovice 7,7850000.0
"Prodej rodinného domu 140 m², pozemek 955 m²",Veliká Ves,Cena na vyžádání,prodej,rodinného domu,140,955,,Veliká Ves,,
Prodej bytu 3+kk 52 m²,Čachrov - Javorná,6 490 000 Kč,prodej,bytu,52,,3+kk,Čachrov,Javorná,6490000.0
"Prodej rodinného domu 150 m², pozemek 2921 m²",Dříteň - Strachovice,8 800 000 Kč,prodej,rodinného domu,150,2921,,Dříteň,Strachovice,8800000.0
"Prodej rodinného domu 242 m², pozemek 1066 m²",Vranov,Cena na vyžádání,prodej,rodinného domu,242,1066,,Vranov,,
Prodej bytu 2+kk 38 m²,Čachrov - Javorná,3 990 000 Kč,prodej,bytu,38,,2+kk,Čachrov,Javorná,3990000.0
Prodej bytu 4+kk 121 m²,"Podbělohorská, Praha - Smíchov",Cena na vyžádání,prodej,bytu,121,,4+kk,Praha,Smíchov,
Pronájem bytu 1+kk 25 m²,"Ke Koupališti, Odry",10 000 Kč/měsíc,pronájem,bytu,25,,1+kk,Odry,,10000.0
Prodej bytu 3+kk 65 m²,Čachrov - Javorná,7 490 000 Kč,prodej,bytu,65,,3+kk,Čachrov,Javorná,7490000.0
Pronájem bytu 1+kk 39 m²,"V Háji, Praha - Holešovice",21 900 Kč/měsíc,pronájem,bytu,39,,1+kk,Praha,Holešovice,21900.0
Pronájem bytu 4+1 170 m²,Praha - Malá Strana,79 000 Kč/měsíc,pronájem,bytu,170,,4+1,Praha,Malá Strana,79000.0
Pronájem bytu 3+1 65 m²,"Na Rybníčku, Humpolec",15 000 Kč/měsíc,pronájem,bytu,65,,3+1,Humpolec,,15000.0
Pronájem bytu 3+kk 104 m²,Praha - Nové Město,60 000 Kč/měsíc,pronájem,bytu,104,,3+kk,Praha,Nové Město,60000.0
Prodej bytu 5+kk 187 m²,Praha - Smíchov,Cena na vyžádání,prodej,bytu,187,,5+kk,Praha,Smíchov,
"SLEVA: Prodej chaty 50 m², pozemek 792 m²",Komařice,1 260 000 Kč,prodej,chaty,50,792,,Komařice,,1260000.0
"Prodej rodinného domu 110 m², pozemek 359 m²",Praha - Strašnice,12 900 000 Kč,prodej,rodinného domu,110,359,,Praha,Strašnice,12900000.0
Prodej bytu 2+kk 64 m²,Praha - Hostivař,Cena na vyžádání,prodej,bytu,64,,2+kk,Praha,Hostivař,
Pronájem bytu 2+kk 64 m²,Praha - Hostivař,24 000 Kč/měsíc,pronájem,bytu,64,,2+kk,Praha,Hostivař,24000.0
"Pronájem rodinného domu 90 m², pozemek 209 m²","Pístecká, Nymburk",21 000 Kč/měsíc,pronájem,rodinného domu,90,209,,Nymburk,,21000.0
"Prodej rodinného domu 150 m², pozemek 775 m²","Zabranská, Hýskov",8 000 000 Kč,prodej,rodinného domu,150,775,,Hýskov,,8000000.0
Prodej bytu 1+kk 31 m²,"Křivoklátská, Praha - Letňany",4 460 000 Kč,prodej,bytu,31,,1+kk,Praha,Letňany,4460000.0
Prodej bytu 2+kk 50 m²,"Na Folimance, Praha - Vinohrady",8 550 000 Kč,prodej,bytu,50,,2+kk,Praha,Vinohrady,8550000.0
Prodej bytu 2+kk 55 m²,"Hlaváčkova, Praha - Košíře",8 990 870 Kč,prodej,bytu,55,,2+kk,Praha,Košíře,8990870.0
Prodej bytu 3+kk 70 m²,"Danielova, Praha - Čakovice",9 763 858 Kč,prodej,bytu,70,,3+kk,Praha,Čakovice,9763858.0
Prodej bytu 2+kk 55 m²,"Hlaváčkova, Praha - Košíře",8 990 870 Kč,prodej,bytu,55,,2+kk,Praha,Košíře,8990870.0
Prodej bytu 3+kk 70 m²,"Danielova, Praha - Čakovice",9 763 858 Kč,prodej,bytu,70,,3+kk,Praha,Čakovice,9763858.0
Prodej bytu 3+kk 73 m²,"Danielova, Praha - Čakovice",9 663 633 Kč,prodej,bytu,73,,3+kk,Praha,Čakovice,9663633.0
Prodej bytu 1+kk 30 m²,"Hlaváčkova, Praha - Košíře",5 843 355 Kč,prodej,bytu,30,,1+kk,Praha,Košíře,5843355.0
Pronájem bytu 2+kk 50 m²,"Wiesenthalova, Praha - Řeporyje",20 000 Kč/měsíc,pronájem,bytu,50,,2+kk,Praha,Řeporyje,20000.0
Prodej bytu 1+kk 26 m²,"Prachnerova, Praha - Košíře",5 392 116 Kč,prodej,bytu,26,,1+kk,Praha,Košíře,5392116.0
Prodej bytu 1+kk 24 m²,"Prachnerova, Praha - Košíře",4 801 173 Kč,prodej,bytu,24,,1+kk,Praha,Košíře,4801173.0
Prodej bytu 3+kk 93 m²,"Modenská, Praha - Horní Měcholupy",11 850 000 Kč,prodej,bytu,93,,3+kk,Praha,Horní Měcholupy,11850000.0
Prodej bytu 4+kk 96 m²,"Pod Višňovkou, Praha - Krč",11 390 000 Kč,prodej,bytu,96,,4+kk,Praha,Krč,11390000.0
Prodej bytu 3+kk 70 m²,"Janouchova, Praha - Háje",8 250 000 Kč,prodej,bytu,70,,3+kk,Praha,Háje,8250000.0
Prodej bytu 1+kk 31 m²,"Platónova, Praha - Modřany",4 650 000 Kč,prodej,bytu,31,,1+kk,Praha,Modřany,4650000.0
Prodej bytu 2+kk 43 m²,"Danielova, Praha - Čakovice",7 819 224 Kč,prodej,bytu,43,,2+kk,Praha,Čakovice,7819224.0
Prodej bytu 3+kk 70 m²,"Danielova, Praha - Čakovice",9 802 519 Kč,prodej,bytu,70,,3+kk,Praha,Čakovice,9802519.0
Prodej bytu 3+kk 70 m²,"Danielova, Praha - Čakovice",9 749 599 Kč,prodej,bytu,70,,3+kk,Praha,Čakovice,9749599.0
Prodej bytu 3+kk 60 m²,Černý Důl,6 999 000 Kč,prodej,bytu,60,,3+kk,Černý Důl,,6999000.0
"Prodej rodinného domu 124 m², pozemek 718 m²","K Zaječí, Struhařov",11 990 000 Kč,prodej,rodinného domu,124,718,,Struhařov,,11990000.0
Pronájem bytu 1+kk 36 m²,"Kadečkové, Praha - Letňany",17 990 Kč/měsíc,pronájem,bytu,36,,1+kk,Praha,Letňany,17990.0
Pronájem bytu 3+1 136 m²,"Chorvatská, Praha - Vinohrady",39 000 Kč/měsíc,pronájem,bytu,136,,3+1,Praha,Vinohrady,39000.0
Pronájem bytu 3+kk 154 m²,"Prokopova, Praha - Žižkov",38 000 Kč/měsíc,pronájem,bytu,154,,3+kk,Praha,Žižkov,38000.0
Prodej bytu 2+kk 56 m²,"Pecháčkova, Praha - Smíchov",6 961 000 Kč,prodej,bytu,56,,2+kk,Praha,Smíchov,6961000.0
Pronájem bytu 3+kk 77 m²,"Klíšská, Ústí nad Labem - Klíše",15 900 Kč/měsíc,pronájem,bytu,77,,3+kk,Ústí nad Labem,Klíše,15900.0
"Prodej vily 420 m², pozemek 1532 m²","Jižní Stráň, Předboj",Cena na vyžádání,prodej,vily,420,1532,,Předboj,,
Pronájem bytu 3+1 72 m²,Křemže,12 000 Kč/měsíc,pronájem,bytu,72,,3+1,Křemže,,12000.0
"Prodej rodinného domu 108 m², pozemek 322 m²","P. Bezruče, Valtice",4 010 240 Kč,prodej,rodinného domu,108,322,,Valtice,,4010240.0
Prodej bytu 1+kk 42 m²,"Podle náhonu, Praha - Záběhlice",5 390 000 Kč,prodej,bytu,42,,1+kk,Praha,Záběhlice,5390000.0
"Prodej chaty 40 m², pozemek 757 m²",Nedvědice,890 000 Kč,prodej,chaty,40,757,,Nedvědice,,890000.0
"Prodej rodinného domu 168 m², pozemek 546 m²",Březina,14 650 000 Kč,prodej,rodinného domu,168,546,,Březina,,14650000.0
Prodej bytu 2+kk 48 m²,"Ústavní, Dobřany",3 723 000 Kč,prodej,bytu,48,,2+kk,Dobřany,,3723000.0
"SLEVA: Prodej rodinného domu 154 m², pozemek 822 m²","Na Hájku, Suchohrdly",10 990 000 Kč,prodej,rodinného domu,154,822,,Suchohrdly,,10990000.0
Pronájem bytu 2+kk 55 m²,"Ukrajinská, Brno - Bohunice",17 000 Kč/měsíc,pronájem,bytu,55,,2+kk,Brno,Bohunice,17000.0
Prodej bytu 2+kk 46 m²,"Pecháčkova, Plzeň - Skvrňany",4 453 000 Kč,prodej,bytu,46,,2+kk,Plzeň,Skvrňany,4453000.0
Pronájem bytu 1+kk 28 m²,"Svitavské nábřeží, Brno",8 563 Kč/měsíc,pronájem,bytu,28,,1+kk,Brno,,8563.0
Pronájem bytu 3+kk 100 m²,Most,20 000 Kč/měsíc,pronájem,bytu,100,,3+kk,Most,,20000.0
Pronájem bytu 2+kk 68 m²,"Freiwaldova, Praha - Kamýk",19 900 Kč/měsíc,pronájem,bytu,68,,2+kk,Praha,Kamýk,19900.0
Prodej bytu 1+1 30 m²,"Vajdova, Praha - Hostivař",4 044 000 Kč,prodej,bytu,30,,1+1,Praha,Hostivař,4044000.0
Prodej bytu 2+kk 54 m²,"Dlouhá, Nový Jičín",3 200 000 Kč,prodej,bytu,54,,2+kk,Nový Jičín,,3200000.0
Prodej bytu 3+1 72 m²,"Javorová, Teplice - Nová Ves",2 750 000 Kč,prodej,bytu,72,,3+1,Teplice,Nová Ves,2750000.0
"Prodej rodinného domu 220 m², pozemek 593 m²","Dlouhá, Klobouky u Brna",8 500 000 Kč,prodej,rodinného domu,220,593,,Klobouky u Brna,,8500000.0
"Prodej vícegeneračního domu 215 m², pozemek 455 m²","Kociánka, Brno - Sadová",18 990 000 Kč,prodej,vícegeneračního domu,215,455,,Brno,Sadová,18990000.0
"Prodej rodinného domu 215 m², pozemek 455 m²","Kociánka, Brno - Sadová",18 990 000 Kč,prodej,rodinného domu,215,455,,Brno,Sadová,18990000.0
Prodej bytu 3+kk 59 m²,"Žabí, Brno - Žebětín",7 330 000 Kč,prodej,bytu,59,,3+kk,Brno,Žebětín,7330000.0
Prodej bytu 3+1 131 m²,"Boženy Němcové, Hluboká nad Vltavou",5 990 000 Kč,prodej,bytu,131,,3+1,Hluboká nad Vltavou,,5990000.0
"Prodej rodinného domu 132 m², pozemek 684 m²","Hradní, Hustopeče",6 900 000 Kč,prodej,rodinného domu,132,684,,Hustopeče,,6900000.0
Prodej bytu 4+kk 92 m²,"Chudčická, Brno - Bystrc",12 990 000 Kč,prodej,bytu,92,,4+kk,Brno,Bystrc,12990000.0
"Prodej rodinného domu 99 m², pozemek 225 m²",Bořetice,7 250 000 Kč,prodej,rodinného domu,99,225,,Bořetice,,7250000.0
"Prodej rodinného domu 146 m², pozemek 308 m²",Čejkovice,7 450 000 Kč,prodej,rodinného domu,146,308,,Čejkovice,,7450000.0
"Pronájem rodinného domu 135 m², pozemek 274 m²","Třešňová, Adamov",24 000 Kč/měsíc,pronájem,rodinného domu,135,274,,Adamov,,24000.0
Prodej bytu 1+1 31 m²,"1. máje, Uhlířské Janovice",2 300 000 Kč,prodej,bytu,31,,1+1,Uhlířské Janovice,,2300000.0
"Prodej rodinného domu 270 m², pozemek 440 m²","Zapova, Benešov",17 900 000 Kč,prodej,rodinného domu,270,440,,Benešov,,17900000.0
"Pronájem vily 400 m², pozemek 440 m²","Musílkova, Praha - Košíře",140 000 Kč/měsíc,pronájem,vily,400,440,,Praha,Košíře,140000.0
"Prodej rodinného domu 196 m², pozemek 611 m²",Zlín,11 999 000 Kč,prodej,rodinného domu,196,611,,Zlín,,11999000.0
"Prodej rodinného domu 236 m², pozemek 1086 m²",Žlutava,14 200 000 Kč,prodej,rodinného domu,236,1086,,Žlutava,,14200000.0
"Prodej chaty 20 m², pozemek 11807 m²",Řehenice - Babice,7 899 900 Kč,prodej,chaty,20,11807,,Řehenice,Babice,7899900.0
"Prodej chaty 36 m², pozemek 591 m²",Černé Voděrady,890 000 Kč,prodej,chaty,36,591,,Černé Voděrady,,890000.0
Prodej bytu 2+kk 71 m²,"Rakouská, Milovice - Mladá",4 600 000 Kč,prodej,bytu,71,,2+kk,Milovice,Mladá,4600000.0
"Prodej rodinného domu 90 m², pozemek 403 m²",Žebrák,6 600 000 Kč,prodej,rodinného domu,90,403,,Žebrák,,6600000.0
"Prodej rodinného domu 117 m², pozemek 500 m²","K Rokli, Kamenné Žehrovice",8 600 000 Kč,prodej,rodinného domu,117,500,,Kamenné Žehrovice,,8600000.0
"SLEVA: Prodej rodinného domu 183 m², pozemek 503 m²","Dlouhá, Hora Svaté Kateřiny",960 000 Kč,prodej,rodinného domu,183,503,,Hora Svaté Kateřiny,,960000.0
"Prodej chaty 56 m², pozemek 473 m²",Mladá Boleslav - Mladá Boleslav II,1 890 000 Kč,prodej,chaty,56,473,,Mladá Boleslav,Mladá Boleslav II,1890000.0
Prodej bytu 4+1 80 m²,Křečhoř,2 990 000 Kč,prodej,bytu,80,,4+1,Křečhoř,,2990000.0
Prodej bytu 3+kk 104 m²,"Hlubočická, Ostrava - Krásné Pole",6 120 000 Kč,prodej,bytu,104,,3+kk,Ostrava,Krásné Pole,6120000.0
"Prodej rodinného domu 460 m², pozemek 332 m²","Přemyslova, České Budějovice - České Budějovice 5",11 000 000 Kč,prodej,rodinného domu,460,332,,České Budějovice,České Budějovice 5,11000000.0
"Pronájem rodinného domu 98 m², pozemek 62 m²","K Lomu, Dobřichovice",25 000 Kč/měsíc,pronájem,rodinného domu,98,62,,Dobřichovice,,25000.0
Prodej bytu atypický 171 m²,Průhonice,15 800 000 Kč,prodej,bytu,,,,Průhonice,,15800000.0
Prodej bytu 3+kk 85 m²,"Opletalova, Praha - Nové Město",15 800 000 Kč,prodej,bytu,85,,3+kk,Praha,Nové Město,15800000.0
Pronájem bytu 3+kk 87 m²,"Slunečný vrch, Chýnov",15 000 Kč/měsíc,pronájem,bytu,87,,3+kk,Chýnov,,15000.0
Pronájem bytu 2+kk 50 m²,Malšice,7 000 Kč/měsíc,pronájem,bytu,50,,2+kk,Malšice,,7000.0
"Prodej rodinného domu 175 m², pozemek 423 m²","Dostálova, Praha - Modřany",25 950 000 Kč,prodej,rodinného domu,175,423,,Praha,Modřany,25950000.0
Pronájem bytu 3+1 105 m²,"Rašínovo nábřeží, Praha - Nové Město",29 000 Kč/měsíc,pronájem,bytu,105,,3+1,Praha,Nové Město,29000.0
"Prodej rodinného domu 220 m², pozemek 546 m²","V padolině, Praha - Dolní Počernice",16 890 000 Kč,prodej,rodinného domu,220,546,,Praha,Dolní Počernice,16890000.0
